The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 10/01/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",,,,,,,,,,,,,,,,,
Latitude,,51.522530,,,,,,,,,,,,,,,,,,
Longitude,,-0.154611,,,,,,,,,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,,,,,,,,,
Zone,,Greater London,,,,,,,,,,,,,,,,,,
Agglomeration,,Greater London Urban Area,,,,,,,,,,,,,,,,,,
Local Authority,,"Westminster",,,,,,,,,,,,,,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2019-01-01,01:00:00,27.54066,V ugm-3,27.59697,V ugm-3,52.38422,V ugm-3,0.251524,V mgm-3,26.3,V ugm-3 (TEOM FDMS),20.4,V ugm-3 (TEOM FDMS),259.3,N deg,2.3,N ms-1,5.5,N degC
2019-01-01,02:00:00,32.26382,V ugm-3,23.98922,V ugm-3,46.65609,V ugm-3,0.251524,V mgm-3,20.7,V ugm-3 (TEOM FDMS),20.1,V ugm-3 (TEOM FDMS),269.4,N deg,2.6,N ms-1,4.6,N degC
2019-01-01,03:00:00,38.5669,V ugm-3,21.5411,V ugm-3,43.57085,V ugm-3,0.215171,V mgm-3,12.5,V ugm-3 (TEOM FDMS),9.7,V ugm-3 (TEOM FDMS),280.5,N deg,3,N ms-1,4.4,N degC
2019-01-01,04:00:00,48.49551,V ugm-3,10.40157,V ugm-3,25.62631,V ugm-3,0.173905,V mgm-3,10.8,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),287,N deg,2.7,N ms-1,4.1,N degC
2019-01-01,05:00:00,34.92475,V ugm-3,16.79714,V ugm-3,40.18036,V ugm-3,0.250542,V mgm-3,11.1,V ugm-3 (TEOM FDMS),9.9,V ugm-3 (TEOM FDMS),291.5,N deg,3,N ms-1,4,N degC
2019-01-01,06:00:00,12.02409,V ugm-3,68.20763,V ugm-3,69.51244,V ugm-3,0.442132,V mgm-3,18.7,V ugm-3 (TEOM FDMS),11.1,V ugm-3 (TEOM FDMS),294.3,N deg,3.2,N ms-1,5,N degC
2019-01-01,07:00:00,12.07399,V ugm-3,61.10926,V ugm-3,73.03419,V ugm-3,0.394971,V mgm-3,17.5,V ugm-3 (TEOM FDMS),8.7,V ugm-3 (TEOM FDMS),306.9,N deg,3.2,N ms-1,5.7,N degC
2019-01-01,08:00:00,12.37334,V ugm-3,55.87333,V ugm-3,55.9983,V ugm-3,0.362548,V mgm-3,13.2,V ugm-3 (TEOM FDMS),13.8,V ugm-3 (TEOM FDMS),302.5,N deg,2.3,N ms-1,6,N degC
2019-01-01,09:00:00,10.52732,V ugm-3,72.42448,V ugm-3,69.218,V ugm-3,0.415603,V mgm-3,14.3,V ugm-3 (TEOM FDMS),8.7,V ugm-3 (TEOM FDMS),298.5,N deg,2.5,N ms-1,6.4,N degC
2019-01-01,10:00:00,9.3299,V ugm-3,66.66145,V ugm-3,66.79459,V ugm-3,0.377286,V mgm-3,19.5,V ugm-3 (TEOM FDMS),4.8,V ugm-3 (TEOM FDMS),299.3,N deg,2.6,N ms-1,6.8,N degC
