The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 10/01/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",,,,,,,,,,,,,,,,,
Latitude,,51.522530,,,,,,,,,,,,,,,,,,
Longitude,,-0.154611,,,,,,,,,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,,,,,,,,,
Zone,,Greater London,,,,,,,,,,,,,,,,,,
Agglomeration,,Greater London Urban Area,,,,,,,,,,,,,,,,,,
Local Authority,,"Westminster",,,,,,,,,,,,,,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2018-01-01,01:00:00,24.48059,V ugm-3,70.66562,V ugm-3,79.0596,V ugm-3,0.298901,V mgm-3,24.6,V ugm-3 (TEOM FDMS),12.7,V ugm-3 (TEOM FDMS),263.3,N deg,5.5,N ms-1,5.5,N degC
2018-01-01,02:00:00,13.9699,V ugm-3,139.49697,V ugm-3,97.05587,V ugm-3,0.261539,V mgm-3,18.7,V ugm-3 (TEOM FDMS),11.6,V ugm-3 (TEOM FDMS),256.4,N deg,5,N ms-1,5.1,N degC
2018-01-01,03:00:00,18.21076,V ugm-3,112.7738,V ugm-3,101.07355,V ugm-3,0.308242,V mgm-3,17.2,V ugm-3 (TEOM FDMS),7.6,V ugm-3 (TEOM FDMS),251,N deg,4.8,N ms-1,4.9,N degC
2018-01-01,04:00:00,24.84647,V ugm-3,84.57176,V ugm-3,81.56557,V ugm-3,0.224176,V mgm-3,10.8,V ugm-3 (TEOM FDMS),2.3,V ugm-3 (TEOM FDMS),246.8,N deg,4.8,N ms-1,4.7,N degC
2018-01-01,05:00:00,29.03744,V ugm-3,75.66403,V ugm-3,59.85638,V ugm-3,0.252198,V mgm-3,12.4,V ugm-3 (TEOM FDMS),4.8,V ugm-3 (TEOM FDMS),248.4,N deg,5.3,N ms-1,4.9,N degC
2018-01-01,06:00:00,35.62324,V ugm-3,54.34053,V ugm-3,51.55781,V ugm-3,0.112088,V mgm-3,12.6,V ugm-3 (TEOM FDMS),2.7,V ugm-3 (TEOM FDMS),248,N deg,5.3,N ms-1,5,N degC
2018-01-01,07:00:00,25.79442,V ugm-3,76.2831,V ugm-3,79.5382,V ugm-3,0.196154,V mgm-3,21,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),245.8,N deg,4.4,N ms-1,5,N degC
2018-01-01,08:00:00,24.79657,V ugm-3,75.69843,V ugm-3,72.98608,V ugm-3,0.112088,V mgm-3,21.7,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),239.5,N deg,3,N ms-1,4.6,N degC
2018-01-01,09:00:00,17.26281,V ugm-3,90.62488,V ugm-3,86.85994,V ugm-3,0.14011,V mgm-3,21.9,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),232.9,N deg,2.6,N ms-1,4.2,N degC
2018-01-01,10:00:00,5.68775,V ugm-3,142.48914,V ugm-3,103.41757,V ugm-3,0.224176,V mgm-3,26,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),211.2,N deg,1.6,N ms-1,3.7,N degC
