The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 10/01/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",,,,,,,,,,,,,,,,,
Latitude,,51.522530,,,,,,,,,,,,,,,,,,
Longitude,,-0.154611,,,,,,,,,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,,,,,,,,,
Zone,,Greater London,,,,,,,,,,,,,,,,,,
Agglomeration,,Greater London Urban Area,,,,,,,,,,,,,,,,,,
Local Authority,,"Westminster",,,,,,,,,,,,,,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2011-01-01,01:00:00,18,V ugm-3,11,V ugm-3,46,V ugm-3,0.3,V mgm-3,31,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),266.7,N deg,1.1,N ms-1,0.7,N degC
2011-01-01,02:00:00,26,V ugm-3,21,V ugm-3,40,V ugm-3,0.5,V mgm-3,42,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),271.9,N deg,1.2,N ms-1,0.5,N degC
2011-01-01,03:00:00,10,V ugm-3,28,V ugm-3,52,V ugm-3,0.5,V mgm-3,41,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),276.3,N deg,1.5,N ms-1,0.4,N degC
2011-01-01,04:00:00,2,V ugm-3,94,V ugm-3,74,V ugm-3,0.7,V mgm-3,57,V ugm-3 (TEOM FDMS),44,V ugm-3 (TEOM FDMS),278.7,N deg,2.1,N ms-1,0.4,N degC
2011-01-01,05:00:00,2,V ugm-3,79,V ugm-3,71,V ugm-3,0.7,V mgm-3,59,V ugm-3 (TEOM FDMS),42,V ugm-3 (TEOM FDMS),289.6,N deg,2.7,N ms-1,0.7,N degC
2011-01-01,06:00:00,6,V ugm-3,49,V ugm-3,63,V ugm-3,0.5,V mgm-3,46,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),303.6,N deg,2.8,N ms-1,1.7,N degC
2011-01-01,07:00:00,6,V ugm-3,41,V ugm-3,63,V ugm-3,0.5,V mgm-3,40,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),316.7,N deg,2.8,N ms-1,2.6,N degC
2011-01-01,08:00:00,4,V ugm-3,59,V ugm-3,73,V ugm-3,0.5,V mgm-3,36,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),320.8,N deg,2.7,N ms-1,3.1,N degC
2011-01-01,09:00:00,2,V ugm-3,88,V ugm-3,80,V ugm-3,0.5,V mgm-3,33,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),315,N deg,2.6,N ms-1,3.3,N degC
2011-01-01,10:00:00,2,V ugm-3,85,V ugm-3,80,V ugm-3,0.5,V mgm-3,32,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),316.7,N deg,2.6,N ms-1,3.6,N degC
