The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 10/01/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",,,,,,,,,,,,,,,,,
Latitude,,51.522530,,,,,,,,,,,,,,,,,,
Longitude,,-0.154611,,,,,,,,,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,,,,,,,,,
Zone,,Greater London,,,,,,,,,,,,,,,,,,
Agglomeration,,Greater London Urban Area,,,,,,,,,,,,,,,,,,
Local Authority,,"Westminster",,,,,,,,,,,,,,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2013-01-01,01:00:00,10.04502,V ugm-3,94.92743,V ugm-3,73.38135,V ugm-3,0.387679,V mgm-3,36.4,V ugm-3 (TEOM FDMS),21.6,V ugm-3 (TEOM FDMS),284,N deg,4,N ms-1,7.6,N degC
2013-01-01,02:00:00,5.38839,V ugm-3,160.35123,V ugm-3,108.3546,V ugm-3,0.387679,V mgm-3,36,V ugm-3 (TEOM FDMS),23.6,V ugm-3 (TEOM FDMS),304,N deg,4.2,N ms-1,7.3,N degC
2013-01-01,03:00:00,37.07013,V ugm-3,15.75278,V ugm-3,35.17853,V ugm-3,0.387679,V mgm-3,9,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),302.2,N deg,3.9,N ms-1,6.3,N degC
2013-01-01,04:00:00,18.56001,V ugm-3,38.33327,V ugm-3,67.37498,V ugm-3,0.387679,V mgm-3,6.5,V ugm-3 (TEOM FDMS),3.5,V ugm-3 (TEOM FDMS),301.4,N deg,3.8,N ms-1,5.5,N degC
2013-01-01,05:00:00,21.05464,V ugm-3,37.59269,V ugm-3,61.3334,V ugm-3,0.419985,V mgm-3,10.6,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),295.6,N deg,3.7,N ms-1,4.8,N degC
2013-01-01,06:00:00,18.06108,V ugm-3,41.99347,V ugm-3,62.56648,V ugm-3,0.516905,V mgm-3,9.1,V ugm-3 (TEOM FDMS),4.4,V ugm-3 (TEOM FDMS),289.5,N deg,3.8,N ms-1,4.2,N degC
2013-01-01,07:00:00,12.72259,V ugm-3,63.99772,V ugm-3,68.91885,V ugm-3,0.355372,V mgm-3,7.4,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),278.4,N deg,3.5,N ms-1,3.7,N degC
2013-01-01,08:00:00,11.87442,V ugm-3,53.34546,V ugm-3,72.56838,V ugm-3,0.387679,V mgm-3,11.1,V ugm-3 (TEOM FDMS),0.3,V ugm-3 (TEOM FDMS),275.3,N deg,3.5,N ms-1,3.4,N degC
2013-01-01,09:00:00,5.9871,V ugm-3,116.10897,V ugm-3,109.97018,V ugm-3,0.258452,V mgm-3,16.4,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),276,N deg,3.7,N ms-1,3.6,N degC
2013-01-01,10:00:00,6.48603,V ugm-3,111.74935,V ugm-3,82.75101,V ugm-3,0.290759,V mgm-3,18.4,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),276.9,N deg,3.6,N ms-1,4.9,N degC
2013-01-01,11:00:00,11.37549,V ugm-3,162.05109,V ugm-3,99.41701,V ugm-3,0.258452,V mgm-3,18.5,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),277,N deg,4,N ms-1,6.1,N degC
2013-01-01,12:00:00,17.16302,V ugm-3,77.52967,V ugm-3,81.33241,V ugm-3,0.290759,V mgm-3,15.3,V ugm-3 (TEOM FDMS),4.5,V ugm-3 (TEOM FDMS),278.8,N deg,4.1,N ms-1,6.9,N degC
2013-01-01,13:00:00,14.76818,V ugm-3,84.06896,V ugm-3,76.37856,V ugm-3,0.290759,V mgm-3,18.4,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),284.3,N deg,4.3,N ms-1,7.2,N degC
