The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 10/01/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",,,,,,,,,,,,,,,,,
Latitude,,51.522530,,,,,,,,,,,,,,,,,,
Longitude,,-0.154611,,,,,,,,,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,,,,,,,,,
Zone,,Greater London,,,,,,,,,,,,,,,,,,
Agglomeration,,Greater London Urban Area,,,,,,,,,,,,,,,,,,
Local Authority,,"Westminster",,,,,,,,,,,,,,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2017-01-01,01:00:00,10.57721,V ugm-3,81.25162,V ugm-3,70.12691,V ugm-3,0.460558,V mgm-3,41.7,V ugm-3 (TEOM FDMS),31.5,V ugm-3 (TEOM FDMS),224.2,P deg,2.9,P ms-1,4,P degC
2017-01-01,02:00:00,5.1223,V ugm-3,171.54034,V ugm-3,96.57232,V ugm-3,0.422177,V mgm-3,39.9,V ugm-3 (TEOM FDMS),33.6,V ugm-3 (TEOM FDMS),226,P deg,3.2,P ms-1,4.2,P degC
2017-01-01,03:00:00,7.13463,V ugm-3,133.66815,V ugm-3,99.92765,V ugm-3,0.374203,V mgm-3,32.3,V ugm-3 (TEOM FDMS),25.6,V ugm-3 (TEOM FDMS),225.5,P deg,3,P ms-1,4.4,P degC
2017-01-01,04:00:00,6.78538,V ugm-3,119.32389,V ugm-3,86.83658,V ugm-3,0.374203,V mgm-3,33.8,V ugm-3 (TEOM FDMS),23.1,V ugm-3 (TEOM FDMS),217.7,P deg,3.2,P ms-1,4.3,P degC
2017-01-01,05:00:00,7.53377,V ugm-3,109.77176,V ugm-3,80.74862,V ugm-3,0.345418,V mgm-3,32.2,V ugm-3 (TEOM FDMS),23.1,V ugm-3 (TEOM FDMS),226.7,P deg,3.3,P ms-1,5.3,P degC
2017-01-01,06:00:00,5.18882,V ugm-3,96.24697,V ugm-3,74.91215,V ugm-3,0.287848,V mgm-3,31.3,V ugm-3 (TEOM FDMS),24.7,V ugm-3 (TEOM FDMS),224.6,P deg,3.1,P ms-1,5.9,P degC
2017-01-01,07:00:00,7.43398,V ugm-3,63.33478,V ugm-3,61.14406,V ugm-3,0.287848,V mgm-3,28.4,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),220.8,P deg,3.1,P ms-1,6.4,P degC
2017-01-01,08:00:00,6.43613,V ugm-3,80.6105,V ugm-3,59.2,V ugm-3,0.316633,V mgm-3,28.1,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),219.5,P deg,3.2,P ms-1,6.8,P degC
2017-01-01,09:00:00,4.29076,V ugm-3,146.37284,V ugm-3,75.25162,V ugm-3,0.287848,V mgm-3,51.8,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),218.9,P deg,3.2,P ms-1,7.2,P degC
2017-01-01,10:00:00,2.89377,V ugm-3,166.26571,V ugm-3,90.47464,V ugm-3,0.345418,V mgm-3,27.6,V ugm-3 (TEOM FDMS),18.1,V ugm-3 (TEOM FDMS),221.8,P deg,3.4,P ms-1,7.5,P degC
2017-01-01,11:00:00,5.3385,V ugm-3,147.16082,V ugm-3,87.20713,V ugm-3,0.345418,V mgm-3,23.9,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),222.6,P deg,3.3,P ms-1,7.7,P degC
2017-01-01,12:00:00,7.03484,V ugm-3,142.84236,V ugm-3,85.21718,V ugm-3,0.316633,V mgm-3,21.2,V ugm-3 (TEOM FDMS),15.8,V ugm-3 (TEOM FDMS),226.7,P deg,3,P ms-1,7.8,P degC
2017-01-01,13:00:00,6.58581,V ugm-3,142.30602,V ugm-3,87.22817,V ugm-3,0.402988,V mgm-3,20,V ugm-3 (TEOM FDMS),13.4,V ugm-3 (TEOM FDMS),254.6,P deg,2,P ms-1,7.6,P degC
