date,day_category,time,O3,NO,NO2,CO,wind_dir,wind_speed,temp,PM10,PM2.5
2025-01-01,0,01:00:00,61.26799,9.10529,16.25625,0.256124,233.8,8.7,10.5,18.358,7
2025-01-01,0,02:00:00,52.28734,23.94816,21.22875,0.302692,235.3,9,10.4,15.459,7
2025-01-01,0,03:00:00,58.27444,16.09017,23.14125,0.34926,236.8,9.2,10.5,11.594,6
2025-01-01,0,04:00:00,60.86885,16.71382,16.83,0.23284,236.9,8.7,10.7,14.493,6
2025-01-01,0,05:00:00,65.45896,9.23002,11.8575,0.267766,235.9,8.9,10.7,12.561,8
2025-01-01,0,06:00:00,68.85165,6.48596,6.69375,0.23284,233.6,9.1,10.7,14.493,7
2025-01-01,0,07:00:00,66.65638,5.11393,6.69375,0.186272,234.1,9.1,10.7,10.628,3
2025-01-01,0,08:00:00,66.05767,4.11609,6.12,0.17463,235.9,9.3,10.7,6.763,1
2025-01-01,0,09:00:00,67.45466,4.36555,5.54625,0.139704,237.2,9.3,11.1,7.73,6
2025-01-01,0,10:00:00,62.26584,6.2365,8.98875,0.128062,238.7,9.7,11.3,5.797,5
2025-01-01,0,11:00:00,61.8667,5.61285,8.22375,0.128062,247.7,9.2,11.4,3.865,3
2025-01-01,0,12:00:00,59.27229,8.48164,12.04875,0.162988,275.2,6,10.6,0.966,4
2025-01-01,0,13:00:00,61.06842,7.23434,14.34375,0.162988,275.8,6.6,9,6.763,No data
2025-01-01,0,14:00:00,65.25939,No data,No data,0.186272,275.5,4.8,8.4,8.696,No data
2025-01-01,0,15:00:00,No data,No data,No data,No data,282.8,4.9,7.9,5.797,6
2025-01-01,0,16:00:00,26.14367,37.91792,51.255,0.34926,272.1,4.6,7.4,No data,No data
2025-01-01,0,17:00:00,30.33464,26.94168,47.23875,0.360902,266.6,4.3,7.3,1.932,6
2025-01-01,0,18:00:00,37.12002,21.2041,39.015,0.337618,263.7,4,7.2,7.73,6
2025-01-01,0,19:00:00,38.11787,21.57829,38.05875,0.372544,270.1,4.3,6.8,6.763,4
2025-01-01,0,20:00:00,39.11572,14.34395,33.85125,0.325976,279,3.9,6.4,11.594,6
2025-01-01,0,21:00:00,32.72948,19.45788,38.25,0.384186,290.8,2.9,5.5,9.662,5
2025-01-01,0,22:00:00,28.33894,16.83855,40.545,0.40747,298.9,2.5,4.1,10.628,12
2025-01-01,0,23:00:00,23.74883,16.46436,39.20625,0.34926,310,2.2,2.9,7.73,9
2025-01-01,0,24:00:00,25.54496,14.9676,33.66,0.34926,342,2.3,2.2,13.527,7
2025-01-02,0,01:00:00,25.14582,13.09665,30.79125,0.325976,296.8,1.8,3.1,8.696,4
2025-01-02,0,02:00:00,27.54066,6.73542,20.84625,0.29105,326.4,2,2.4,11.594,6
2025-01-02,0,03:00:00,32.33034,3.49244,14.34375,0.267766,356.3,2.2,2.3,15.459,6
2025-01-02,0,04:00:00,42.70798,2.99352,4.78125,0.197914,7.1,2.3,2.2,1.932,3
2025-01-02,0,05:00:00,44.50411,2.4946,4.9725,0.162988,21,2.1,1.9,4.831,6
2025-01-02,0,06:00:00,37.71873,4.86447,11.475,0.151346,14.8,1.8,0.6,13.527,0
2025-01-02,0,07:00:00,34.72518,7.10961,16.25625,0.151346,6.4,2.5,0.3,11.594,No data
2025-01-02,0,08:00:00,34.32604,7.60853,17.78625,0.128062,0.3,2.5,-0.1,10.628,4
2025-01-02,0,09:00:00,38.31744,6.98488,17.9775,0.069852,359.2,2.7,-0.1,9.662,4
2025-01-02,0,10:00:00,32.52991,10.85151,21.42,0.128062,6.9,3.3,1.3,8.696,8
2025-01-02,0,11:00:00,33.72733,14.59341,26.20125,0.104778,2.8,3.5,2.3,17.392,5
2025-01-02,0,12:00:00,38.91615,12.84719,19.5075,0.11642,3.9,3.8,3.1,15.459,7
2025-01-02,0,13:00:00,43.50626,6.48596,15.49125,0.05821,356.8,3.9,3.6,11.594,8
2025-01-02,0,14:00:00,45.50196,6.36123,13.3875,0.093136,347.6,3.8,3.2,14.493,6
2025-01-02,0,15:00:00,46.69938,5.98704,17.40375,0.034926,340.8,3.1,2.4,18.358,5
2025-01-02,0,16:00:00,45.70153,8.60637,16.4475,0.046568,325.8,2.3,0.9,7.73,4
2025-01-02,0,17:00:00,32.92905,12.34827,32.895,0.093136,318.6,2.5,0.1,10.628,7
2025-01-02,0,18:00:00,16.76388,20.33099,47.8125,0.186272,319.9,2.6,-0.4,18.358,10
2025-01-02,0,19:00:00,10.97635,28.06425,53.35875,0.162988,323.8,2.9,-0.7,19.324,11
2025-01-02,0,20:00:00,9.37979,22.07721,56.80125,0.209556,326.6,3.3,-0.6,22.223,10
2025-01-02,0,21:00:00,13.37119,18.08585,49.91625,0.139704,316.9,2.9,-0.9,17.392,8
2025-01-02,0,22:00:00,9.37979,25.32019,51.255,0.23284,316,2.5,-1.3,24.155,10
2025-01-02,0,23:00:00,6.78538,39.16522,65.98125,0.314334,313.4,2.2,-1.8,25.121,11
2025-01-02,0,24:00:00,5.58796,27.4406,55.65375,0.244482,312,2.4,-2,28.986,12
2025-01-03,2,01:00:00,4.98925,29.18682,54.12375,0.267766,291.1,2.2,-1.1,35.749,22
2025-01-03,2,02:00:00,10.37764,18.7095,42.4575,0.197914,280.6,2.1,-1.8,20.29,11
2025-01-03,2,03:00:00,11.57506,13.22138,42.64875,0.209556,282.7,2.3,-2.2,19.324,11
2025-01-03,2,04:00:00,16.56431,8.85583,32.70375,0.151346,290,2.4,-2.2,13.527,9
2025-01-03,2,05:00:00,14.76818,15.09233,35.76375,0.244482,285.8,2.4,-2.3,15.459,10
2025-01-03,2,06:00:00,8.58151,27.06641,47.62125,0.17463,273.6,2.4,-2.6,16.425,7
2025-01-03,2,07:00:00,4.98925,38.54157,52.785,0.162988,273.8,2.3,-2.7,21.256,8
2025-01-03,2,08:00:00,2.99355,48.6447,56.03625,0.197914,264.5,2.4,-2.8,19.324,7
2025-01-03,2,09:00:00,4.78968,59.12202,62.15625,0.17463,258.9,2.7,-2.3,15.459,12
2025-01-03,2,10:00:00,5.58796,66.85528,56.2275,0.197914,275.8,3.2,-0.1,15.459,10
2025-01-03,2,11:00:00,9.18022,57.00161,61.39125,0.197914,276.1,3.1,1.8,21.256,11
2025-01-03,2,12:00:00,13.57076,50.14146,52.21125,0.209556,287.9,3.3,3.5,22.223,7
2025-01-03,2,13:00:00,15.16732,49.01889,57.18375,0.186272,286.5,3.3,4.1,26.087,9
2025-01-03,2,14:00:00,24.34754,21.82775,44.56125,0.081494,280.7,3.1,4.1,21.256,10
2025-01-03,2,15:00:00,24.94625,35.04913,45.9,0.197914,274.6,2.5,3.5,16.425,7
2025-01-03,2,16:00:00,17.36259,38.16738,53.1675,0.197914,268.1,2.5,2,25.121,7
2025-01-03,2,17:00:00,9.9785,50.64038,61.2,0.221198,282.1,2.4,1.3,28.986,10
2025-01-03,2,18:00:00,5.38839,74.33908,69.9975,0.34926,279.8,2.4,0.7,32.851,15
2025-01-03,2,19:00:00,4.59011,50.51565,70.57125,0.34926,286,2.3,0.3,36.716,16
2025-01-03,2,20:00:00,2.19527,52.3866,68.65875,0.384186,284.9,2.3,0.3,31.885,26
2025-01-03,2,21:00:00,1.59656,58.49837,67.51125,0.52389,247.8,1.9,0.5,28.02,24
2025-01-03,2,22:00:00,1.59656,69.72407,68.27625,0.500606,235.7,2,-0.6,32.851,29
2025-01-03,2,23:00:00,1.39699,48.39524,65.21625,0.488964,230,1.8,-1.3,33.817,25
2025-01-03,2,24:00:00,1.39699,42.15874,56.9925,0.46568,219.4,1.7,-1.9,27.054,24
2025-01-04,1,01:00:00,1.19742,42.53293,57.18375,0.40747,232.1,1.7,-0.4,27.054,23
2025-01-04,1,02:00:00,2.19527,30.93304,50.8725,0.384186,239,1.8,-1.3,21.256,19
2025-01-04,1,03:00:00,9.57936,18.46004,39.015,0.279408,238.8,1.9,-1.9,17.392,17
2025-01-04,1,04:00:00,11.37549,16.83855,38.44125,0.302692,242.5,1.7,-2.3,16.425,11
2025-01-04,1,05:00:00,11.37549,15.59125,36.72,0.267766,242.2,1.6,-2.6,12.561,14
2025-01-04,1,06:00:00,9.77893,17.4622,42.26625,0.29105,227.5,1.3,-2.9,14.493,12
2025-01-04,1,07:00:00,6.38624,26.94168,50.1075,0.279408,239.4,0.8,-3.2,13.527,13
2025-01-04,1,08:00:00,2.19527,34.79967,48.5775,0.372544,144.4,0.2,-3.6,13.527,14
2025-01-04,1,09:00:00,3.9914,35.79751,50.68125,0.29105,118.5,1.4,-3.3,18.358,9
2025-01-04,1,10:00:00,1.9957,61.36716,62.53875,0.337618,97.5,1.2,-3.1,16.425,18
2025-01-04,1,11:00:00,2.19527,75.46165,61.5825,0.419112,100.5,1.6,-1.2,24.155,19
2025-01-04,1,12:00:00,4.19097,74.08962,68.65875,0.442396,110.8,1.7,-0.1,27.054,17
2025-01-04,1,13:00:00,13.57076,29.43628,60.8175,0.244482,119.7,1.7,0.4,53.141,14
2025-01-04,1,14:00:00,22.75098,18.83423,50.49,0.244482,114,1.9,0.1,36.716,9
2025-01-04,1,15:00:00,26.94195,21.45356,45.5175,0.186272,125.3,1.7,0.5,36.716,9
2025-01-04,1,16:00:00,28.33894,20.70518,43.79625,0.162988,117.8,2.1,0.3,27.054,10
2025-01-04,1,17:00:00,29.53636,18.58477,44.37,0.197914,125.7,2.3,1,26.087,10
2025-01-04,1,18:00:00,28.13937,24.44708,38.25,0.186272,122.3,3,1,32.851,14
2025-01-04,1,19:00:00,28.53851,20.70518,35.76375,0.186272,130.4,3.3,1.7,28.986,14
2025-01-04,1,20:00:00,36.12217,12.84719,30.2175,0.186272,134,3.5,1.9,23.189,12
2025-01-04,1,21:00:00,39.11572,12.09881,25.6275,0.186272,129,4.4,1.7,17.392,13
2025-01-04,1,22:00:00,33.9269,14.34395,26.20125,0.209556,133.1,5.1,1.4,7.73,8
2025-01-04,1,23:00:00,33.12862,18.08585,35.76375,0.186272,112.2,4.8,1,8.696,8
2025-01-04,1,24:00:00,33.52776,16.83855,29.4525,0.256124,107.4,4.9,0.6,5.797,6
