date,day_category,time,O3,NO,NO2,CO,wind_dir,wind_speed,temp,PM10,PM2.5
2022-01-01,1,01:00:00,17.16302,20.95464,33.2775,0.244482,212,3,10.4,18.358,No data
2022-01-01,1,02:00:00,12.97205,47.64686,43.605,0.337618,214.8,3.7,10.5,21.256,No data
2022-01-01,1,03:00:00,18.75958,28.06425,33.66,0.29105,212.9,3.6,10.2,25.121,No data
2022-01-01,1,04:00:00,20.95485,34.67494,37.485,0.29105,208.8,3.9,10.6,16.425,No data
2022-01-01,1,05:00:00,20.15657,39.53941,33.08625,0.244482,206.7,4,11.3,20.29,No data
2022-01-01,1,06:00:00,21.75313,33.42764,34.23375,0.209556,207.7,4.3,11.1,8.696,No data
2022-01-01,1,07:00:00,20.95485,23.6987,27.34875,0.186272,205.9,4.1,10.6,13.527,No data
2022-01-01,1,08:00:00,20.95485,23.94816,31.17375,0.209556,194.4,2.9,9.5,8.696,No data
2022-01-01,1,09:00:00,20.75528,21.57829,30.2175,0.197914,193.5,3.3,9.1,14.493,No data
2022-01-01,1,10:00:00,22.95055,26.31803,33.2775,0.209556,209.9,5.1,11.3,15.459,No data
2022-01-01,1,11:00:00,23.34969,31.68142,29.4525,0.244482,222.4,5.8,12.8,21.256,No data
2022-01-01,1,12:00:00,23.15012,30.93304,28.49625,0.279408,226.7,5.7,12.5,22.223,No data
2022-01-01,1,13:00:00,21.75313,34.9244,34.0425,0.267766,231.3,5.9,12.6,20.29,No data
2022-01-01,1,14:00:00,18.16087,38.6663,37.8675,0.256124,225.5,5.2,12.2,23.189,No data
2022-01-01,1,15:00:00,20.55571,33.92656,31.55625,0.256124,231.7,4.9,11.8,26.087,No data
2022-01-01,1,16:00:00,16.36474,52.51133,41.31,0.29105,229.1,4.7,11.3,19.324,No data
2022-01-01,1,17:00:00,14.56861,43.15658,41.6925,0.279408,228.2,4.5,10.7,30.918,No data
2022-01-01,1,18:00:00,21.75313,33.05345,32.13,0.314334,229.7,3.8,10.2,28.986,No data
2022-01-01,1,19:00:00,18.75958,32.4298,37.485,0.279408,231.7,5.1,10.8,26.087,No data
2022-01-01,1,20:00:00,16.76388,45.02753,42.4575,0.325976,231.8,5,11,32.851,No data
2022-01-01,1,21:00:00,17.36259,37.91792,37.8675,0.302692,232.3,4.8,11.1,32.851,No data
2022-01-01,1,22:00:00,20.15657,28.81263,35.5725,0.314334,231.8,5,11.3,33.817,No data
