date,day_category,time,O3,NO,NO2,CO,wind_dir,wind_speed,temp,PM10,PM2.5
2018-01-01,0,01:00:00,24.48059,70.66562,79.0596,0.298901,263.3,5.5,5.5,24.6,12.7
2018-01-01,0,02:00:00,13.9699,139.49697,97.05587,0.261539,256.4,5,5.1,18.7,11.6
2018-01-01,0,03:00:00,18.21076,112.7738,101.07355,0.308242,251,4.8,4.9,17.2,7.6
2018-01-01,0,04:00:00,24.84647,84.57176,81.56557,0.224176,246.8,4.8,4.7,10.8,2.3
2018-01-01,0,05:00:00,29.03744,75.66403,59.85638,0.252198,248.4,5.3,4.9,12.4,4.8
2018-01-01,0,06:00:00,35.62324,54.34053,51.55781,0.112088,248,5.3,5,12.6,2.7
2018-01-01,0,07:00:00,25.79442,76.2831,79.5382,0.196154,245.8,4.4,5,21,8.4
2018-01-01,0,08:00:00,24.79657,75.69843,72.98608,0.112088,239.5,3,4.6,21.7,4.6
2018-01-01,0,09:00:00,17.26281,90.62488,86.85994,0.14011,232.9,2.6,4.2,21.9,8
2018-01-01,0,10:00:00,5.68775,142.48914,103.41757,0.224176,211.2,1.6,3.7,26,8.9
2018-01-01,0,11:00:00,7.08474,124.32977,101.68146,0.196154,233.8,1.6,5.4,25.9,10.4
2018-01-01,0,12:00:00,9.3299,141.62932,108.91574,0.280221,227.3,1.1,5.7,25.4,8.2
2018-01-01,0,13:00:00,10.37764,149.95236,106.81776,0.308242,280.1,2.2,6.3,22.5,13.8
2018-01-01,0,14:00:00,23.39958,61.56301,71.72479,0.168133,291.1,3.6,7.4,14.5,8.2
2018-01-01,0,15:00:00,26.44303,50.59173,72.47106,0.112088,292.1,4.1,6.9,11.2,8.8
2018-01-01,0,16:00:00,23.39958,50.28219,68.71229,0.14011,275.3,4.4,5.9,10.4,3.8
2018-01-01,0,17:00:00,12.47313,95.81818,83.29113,0.280221,268.8,5,5.4,15,8.7
2018-01-01,0,18:00:00,6.38624,210.00209,111.78907,0.392309,284.6,6.4,5.8,22.3,9.5
2018-01-01,0,19:00:00,7.78323,182.38472,124.87655,0.392309,285,6.5,5.6,22.9,13.8
2018-01-01,0,20:00:00,24.99614,53.58389,65.41812,0.168133,283.5,6.3,5.4,12.8,6.4
2018-01-01,0,21:00:00,32.23056,38.24473,58.44677,0.14011,290.4,7.3,5.5,12.8,7.9
2018-01-01,0,22:00:00,40.06368,20.842,39.90305,0.056045,293.9,7.1,5.3,9.6,5.7
2018-01-01,0,23:00:00,40.31314,20.8764,48.42425,0.084066,292.5,6.3,5.1,10.6,8.3
2018-01-01,0,24:00:00,35.67314,22.97435,46.54711,0,292,5.5,4.9,10,2.6
2018-01-02,0,01:00:00,30.8003,31.34347,59.18682,0.224176,282.8,4.5,4.6,11,1.8
2018-01-02,0,02:00:00,27.40761,29.41606,53.91447,0.186813,280.1,4.3,4,11.3,3.2
2018-01-02,0,03:00:00,25.74453,31.21727,50.38353,0.196154,279.7,4.3,3.6,10.7,4.4
2018-01-02,0,04:00:00,31.9312,19.37742,41.70828,0.14011,279.3,4.3,3.4,13.6,6.8
