date,day_category,time,O3,NO,NO2,CO,wind_dir,wind_speed,temp,PM10,PM2.5
2021-01-01,2,01:00:00,28.53851,6.08624,20.99867,0.263926,314.9,1.5,-2.1,21.3,18.6
2021-01-01,2,02:00:00,22.15227,7.40564,26.71965,0.294213,318.7,2.1,-2.9,45.1,40.3
2021-01-01,2,03:00:00,31.03314,5.01157,21.01699,0.27258,310.8,1.9,-3.6,25.6,23.9
2021-01-01,2,04:00:00,26.04389,12.76834,26.59591,0.321255,309.3,2,-4,20.8,18.1
2021-01-01,2,05:00:00,18.62653,9.09745,27.38453,0.314765,300.4,2,-4.5,20.9,21.7
2021-01-01,2,06:00:00,17.46238,14.77936,23.7544,0.30503,291.5,1.8,-4.9,23.3,22.2
2021-01-01,2,07:00:00,18.56001,14.10902,24.15303,0.33099,284.5,1.9,-5.2,15.9,15
2021-01-01,2,08:00:00,15.317,13.69405,28.08053,0.30503,277.1,1.8,-5.5,18.6,18.1
2021-01-01,2,09:00:00,15.86582,11.90648,29.03062,0.3245,280.6,1.8,-5.2,19.9,18.3
2021-01-01,2,10:00:00,14.10295,18.99291,34.71777,0.347215,294.6,1.4,-3.1,23.1,25
2021-01-01,2,11:00:00,15.03427,24.54714,36.02664,0.360195,285.8,1.2,-1,24.7,24.9
2021-01-01,2,12:00:00,9.44631,31.69741,37.11468,0.399135,264.5,1.3,-0.2,31.5,28.6
2021-01-01,2,13:00:00,7.65018,25.56861,36.63842,0.405625,291.8,1.6,0.2,35.3,31.3
2021-01-01,2,14:00:00,4.05792,43.31661,40.15931,0.489995,299.4,1.7,0.4,33.4,32.1
2021-01-01,2,15:00:00,2.46136,44.49768,39.55836,0.528934,303.3,1.6,0.7,36.2,31.1
2021-01-01,2,16:00:00,1.72961,54.87196,38.07461,0.554895,301.2,1.5,1.1,34.3,28.8
2021-01-01,2,17:00:00,1.39699,53.97818,43.94627,0.57112,311,1.7,1.5,36,28.3
2021-01-01,2,18:00:00,1.49678,45.80644,41.71404,0.408871,332.6,2.1,2.1,27,23.4
2021-01-01,2,19:00:00,1.33047,32.65504,39.32475,0.36993,336.6,2,2.5,24.1,21.9
2021-01-01,2,20:00:00,3.19312,11.55535,33.29582,0.275825,337.8,2,2.9,20.1,15.3
2021-01-01,2,21:00:00,12.90553,7.5014,25.81454,0.17523,339.9,2.1,3.3,13.7,11.3
2021-01-01,2,22:00:00,21.0879,5.68191,16.02034,0.139535,351.9,2.5,3.7,11.4,8.8
2021-01-01,2,23:00:00,25.74453,6.12881,11.99551,0.09735,353,2.3,3.7,12.2,8
2021-01-01,2,24:00:00,24.8132,5.61807,15.24703,0.07788,357.4,3,4,9.9,7
2021-01-02,1,01:00:00,No data,4.33536,9.76401,0.116727,350.3,2.9,1.7,6.7,5.2
2021-01-02,1,02:00:00,No data,3.1764,9.01123,0.077819,4.5,3.7,2.3,8.3,7.1
2021-01-02,1,03:00:00,29.53636,1.83501,7.35432,0.074575,353.1,3.3,2.4,10,7.8
2021-01-02,1,04:00:00,30.53421,2.57546,10.7435,0.090788,357,3.3,2.5,8.2,6.6
2021-01-02,1,05:00:00,31.19944,1.93159,8.3252,0.090788,358.2,3.2,2.4,8.8,6.6
2021-01-02,1,06:00:00,30.26812,4.15293,11.29243,0.09403,1.1,3.1,2.3,8.1,5.6
2021-01-02,1,07:00:00,No data,6.14891,11.92942,0.11997,359.9,3.2,2.4,7.5,5.8
2021-01-02,1,08:00:00,27.60718,7.88734,18.06961,0.113485,1.1,3.1,2.2,7.9,4.5
2021-01-02,1,09:00:00,25.14582,24.14493,41.98686,0.145909,0.6,2.9,2.1,5.1,4.4
2021-01-02,1,10:00:00,23.01707,12.33001,22.0094,0.178333,1.3,2.7,2,4.6,3.2
2021-01-02,1,11:00:00,18.75958,17.6097,27.63345,0.223727,353.2,2.3,2.2,4.3,5.1
2021-01-02,1,12:00:00,24.48059,11.65395,24.50552,0.226969,348.9,2.2,2.4,3.7,2.7
2021-01-02,1,13:00:00,30.68389,13.61774,21.29982,0.210757,340.2,1.9,2.2,3.4,6.1
2021-01-02,1,14:00:00,36.7874,9.69017,19.58657,0.239939,344.6,1.9,2.5,3.8,1.1
2021-01-02,1,15:00:00,30.26812,10.43061,23.17035,0.252908,339.5,1.9,2.3,7.4,7
2021-01-02,1,16:00:00,16.76388,17.19119,30.56174,0.311272,335,2.2,0.5,6,4.4
2021-01-02,1,17:00:00,15.83255,16.70829,33.58875,0.324243,337.7,2.2,-0.6,7,6.9
2021-01-02,1,18:00:00,10.92646,18.76866,40.35429,0.392333,341.1,2.1,-1.4,8.4,7.3
2021-01-02,1,19:00:00,7.38409,23.27571,43.22234,0.460424,349.5,2.3,-1.7,12.2,9
2021-01-02,1,20:00:00,5.88732,20.9578,44.58714,0.505818,354.5,2.4,-2,14.4,12.7
2021-01-02,1,21:00:00,9.47958,12.90949,40.09461,0.457181,359.3,2.6,-2.1,15.1,13.1
2021-01-02,1,22:00:00,16.26496,9.78675,31.69844,0.405302,6.4,2.2,-2.3,11.6,11.7
2021-01-02,1,23:00:00,15.26711,13.52116,33.51326,0.408545,1,2.3,-2.6,15.2,12.9
2021-01-02,1,24:00:00,21.25421,5.2153,20.17201,0.317757,2.6,2.5,-2.4,14.1,13.5
2021-01-03,1,01:00:00,20.8218,4.71834,21.84512,0.181431,13.7,2,-0.8,13,12.5
2021-01-03,1,02:00:00,34.85823,2.4241,10.43179,0.103676,4.6,2.2,-1.6,8.2,7.7
2021-01-03,1,03:00:00,40.5626,1.20123,6.42241,0.077756,11.3,2.4,-1.8,5.7,7.3
2021-01-03,1,04:00:00,39.86411,1.16876,8.62384,0.080996,11.7,2.5,-1.9,3.7,5
2021-01-03,1,05:00:00,30.13507,3.96081,15.00319,0.090716,12.3,2.7,-1.8,4.4,4.6
2021-01-03,1,06:00:00,26.94195,2.88944,10.97341,0.087476,14.3,2.9,-1.5,10.4,9.6
2021-01-03,1,07:00:00,24.49722,7.56449,14.17212,0.090716,16.4,3.4,-1.1,9.2,9.9
2021-01-03,1,08:00:00,20.30625,7.79175,17.44233,0.093956,17.3,3.4,-0.8,8.5,9.1
2021-01-03,1,09:00:00,23.05034,6.81778,14.73024,0.093956,21.1,3.6,-0.5,9.7,9.1
2021-01-03,1,10:00:00,21.85292,7.53202,16.47134,0.087476,34.7,3.6,0.7,7.3,7.6
2021-01-03,1,11:00:00,22.45163,7.69435,15.29332,0.093956,35.4,3.4,1.6,8,6.9
2021-01-03,1,12:00:00,22.90066,9.1553,15.98729,0.106914,31.8,3.7,2.2,7.4,9
2021-01-03,1,13:00:00,24.54711,9.31763,17.30322,0.110154,27.2,3.4,1.6,7.5,6.4
2021-01-03,1,14:00:00,27.74023,7.14244,13.59673,0.110154,26.2,3.3,1.4,8,6.8
2021-01-03,1,15:00:00,25.99399,6.81778,16.09947,0.116634,29.9,3.5,1.6,6.7,6.7
2021-01-03,1,16:00:00,17.91141,24.05702,25.80418,0.158753,33.7,3.4,2,8.9,2.7
2021-01-03,1,17:00:00,17.3127,8.2138,24.86386,0.110154,37.9,3.2,2.4,7.9,6.7
2021-01-03,1,18:00:00,26.5927,6.49312,19.72693,0.123114,46.4,3.2,1.8,8.3,6.7
2021-01-03,1,19:00:00,20.75528,5.74641,22.87681,0.132834,42.6,2.7,1,7.7,5.2
2021-01-03,1,20:00:00,20.80517,6.62299,23.4399,0.191151,39.6,3.4,1.1,10.1,8.8
2021-01-03,1,21:00:00,19.15872,5.74641,24.88175,0.22031,37.3,3.5,0.9,13,10.2
2021-01-03,1,22:00:00,23.89851,2.72711,17.48164,0.158753,39.4,3.8,1,11.4,10.1
2021-01-03,1,23:00:00,26.24346,2.53232,15.33527,0.139313,43.3,4.1,1.3,9.5,6.2
2021-01-03,1,24:00:00,27.64045,2.01287,12.65977,0.123114,42.9,4.5,1.6,10.5,8.7
