date,day_category,time,O3,NO,NO2,CO,wind_dir,wind_speed,temp,PM10,PM2.5
2020-01-01,0,01:00:00,1.72961,78.38595,45.77784,No data,92.7,2.1,2.3,69,58.1
2020-01-01,0,02:00:00,1.92918,88.61587,52.64325,0.397528,98.3,2.1,1.4,45,43.2
2020-01-01,0,03:00:00,1.9957,70.02935,44.7687,0.346417,116.6,2.3,1,46.2,43
2020-01-01,0,04:00:00,2.04559,67.58589,40.20699,0.335059,131.1,1.8,0.8,45.1,42.8
2020-01-01,0,05:00:00,2.99355,72.03298,47.2601,0.349257,108.8,1.7,0.8,40.8,36.8
2020-01-01,0,06:00:00,2.89377,62.50351,40.35921,0.403207,84.3,1.1,0,44.1,39.2
2020-01-01,0,07:00:00,2.99355,68.41667,42.71639,0.377651,86.9,1.2,-0.4,44.3,38.7
2020-01-01,0,08:00:00,1.89592,91.38512,40.73174,0.366293,143,1.3,0.9,40.4,39.3
2020-01-01,0,09:00:00,1.84602,68.22119,42.57103,0.363454,167.6,1.1,1.5,37.5,37.3
2020-01-01,0,10:00:00,1.94581,65.77774,38.30604,0.394688,185.7,0.6,1.5,34.6,34.3
2020-01-01,0,11:00:00,2.09549,67.7325,38.27603,0.389009,225.7,0.1,2,34.8,30.8
2020-01-01,0,12:00:00,2.04559,91.77607,44.4348,0.423083,129.8,0.6,2.6,35,35.3
2020-01-01,0,13:00:00,3.14323,98.32452,58.05776,0.394688,123.2,0.7,3,42,39.8
2020-01-01,0,14:00:00,3.04344,108.92911,62.19745,0.360614,121.3,0.6,3.3,43.2,39.5
2020-01-01,0,15:00:00,3.54237,105.99697,55.93707,0.343578,107.4,1,3.4,45.1,39.4
2020-01-01,0,16:00:00,3.39269,76.38232,58.83976,0.227159,117.7,1.5,3.5,42.8,40.6
2020-01-01,0,17:00:00,3.04344,127.64595,72.44379,0.380491,127.9,1.5,3.6,39.2,36.4
2020-01-01,0,18:00:00,3.89162,95.44125,62.10782,0.309504,133.6,1.5,3.7,38.6,33.5
2020-01-01,0,19:00:00,4.24086,78.53256,61.69981,0.255554,142.1,1.4,3.9,35,32.5
