date,day_category,time,O3,NO,NO2,CO,wind_dir,wind_speed,temp,PM10,PM2.5
2024-01-01,0,01:00:00,39.71443,22.07721,30.40875,0.244482,261.5,6.1,7.1,18.358,21
2024-01-01,0,02:00:00,23.74883,43.03185,48.38625,0.372544,262.4,6,6.7,10.628,8
2024-01-01,0,03:00:00,31.33249,28.93736,41.11875,0.267766,261.4,6.2,6.4,10.628,6
2024-01-01,0,04:00:00,34.12647,22.95032,37.485,0.314334,266.4,6.2,6.2,13.527,9
2024-01-01,0,05:00:00,37.12002,23.19978,37.8675,0.256124,263.7,5.8,6,11.594,6
2024-01-01,0,06:00:00,39.51486,14.59341,28.49625,0.244482,269.5,5.5,5.8,11.594,11
2024-01-01,0,07:00:00,35.52346,17.71166,34.23375,0.221198,267.7,5.2,5.5,21.256,9
2024-01-01,0,08:00:00,37.71873,12.97192,31.17375,0.186272,266,5,5.3,17.392,10
2024-01-01,0,09:00:00,33.12862,20.08153,37.67625,0.186272,268.2,5,5.4,25.121,18
2024-01-01,0,10:00:00,32.72948,16.96328,37.29375,0.162988,269.9,5.3,6.5,21.256,13
2024-01-01,0,11:00:00,31.33249,23.07505,37.67625,0.17463,262.3,4.6,7.3,22.223,9
2024-01-01,0,12:00:00,29.73593,30.30939,44.56125,0.197914,249.2,4.2,6.4,18.358,13
2024-01-01,0,13:00:00,29.73593,29.06209,44.37,0.209556,237.7,3.6,6.4,16.425,7
2024-01-01,0,14:00:00,28.93765,24.69654,44.37,0.209556,222,3,7.1,15.459,11
2024-01-01,0,15:00:00,27.74023,26.1933,45.9,0.23284,188.1,2.9,7.3,21.256,11
2024-01-01,0,16:00:00,17.36259,26.44276,58.5225,0.267766,184.2,3,7.6,23.189,14
2024-01-01,0,17:00:00,18.95915,34.30075,55.845,0.267766,182.7,3.4,8,16.425,9
2024-01-01,0,18:00:00,28.73808,19.9568,47.0475,0.197914,197.7,4.3,8.5,20.29,6
2024-01-01,0,19:00:00,31.53206,20.58045,41.88375,0.267766,200,5.7,9,12.561,4
2024-01-01,0,20:00:00,33.12862,17.08801,38.6325,0.23284,197,5.8,9.4,7.73,6
2024-01-01,0,21:00:00,39.71443,12.72246,34.0425,0.186272,200.4,5.7,9.6,5.797,2
2024-01-01,0,22:00:00,33.52776,12.34827,37.1025,0.139704,216.3,5.8,10.3,6.763,2
2024-01-01,0,23:00:00,41.31099,12.09881,33.2775,0.151346,229,6.2,11,4.831,5
2024-01-01,0,24:00:00,55.8796,8.60637,20.08125,0.104778,242.4,6.5,11.4,2.899,4
2024-01-02,0,01:00:00,56.27874,7.10961,17.595,0.104778,255.4,7,12.1,4.831,3
2024-01-02,0,02:00:00,56.27874,6.2365,13.96125,0.093136,259.8,6.7,11.6,2.899,8
2024-01-02,0,03:00:00,57.27659,5.48812,13.19625,0.093136,261.2,5.9,11.2,-0.966,5
2024-01-02,0,04:00:00,61.8667,3.36771,11.66625,0.069852,253.5,5,11.2,5.797,6
2024-01-02,0,05:00:00,52.88605,6.73542,16.4475,0.081494,248.1,4.1,11.2,8.696,7
2024-01-02,0,06:00:00,49.49336,12.59773,23.52375,0.128062,235.4,4.4,11.3,7.73,4
2024-01-02,0,07:00:00,43.70583,11.84935,27.73125,0.139704,222.3,3.5,11.1,14.493,9
2024-01-02,0,08:00:00,25.54496,25.07073,51.82875,0.197914,203.1,2.9,10.8,22.223,9
2024-01-02,0,09:00:00,18.56001,28.93736,60.8175,0.197914,185.6,3.3,11,16.425,10
2024-01-02,0,10:00:00,13.17162,43.90496,66.74625,0.17463,217,5.1,11.8,10.628,6
2024-01-02,0,11:00:00,16.76388,47.3974,62.3475,0.209556,228.4,7.1,12.6,6.763,3
2024-01-02,0,12:00:00,34.32604,22.82559,46.47375,0.17463,228.8,8,12.7,15.459,6
2024-01-02,0,13:00:00,38.11787,22.95032,37.1025,0.17463,240.2,8.4,12.6,6.763,4
2024-01-02,0,14:00:00,45.50196,15.59125,29.07,0.162988,239.8,8.9,12.4,8.696,1
2024-01-02,0,15:00:00,46.30024,18.08585,33.2775,0.151346,260.3,8.8,11.7,12.561,3
2024-01-02,0,16:00:00,53.08562,19.83207,32.895,0.17463,260.8,8.4,10.5,7.73,5
2024-01-02,0,17:00:00,54.08347,13.59557,28.49625,0.139704,262,8.1,10.3,3.865,5
2024-01-02,0,18:00:00,46.30024,16.96328,36.72,0.186272,264.3,7.7,9.6,8.696,8
2024-01-02,0,19:00:00,44.30454,16.71382,43.41375,0.209556,261,7.6,9.9,6.763,5
2024-01-02,0,20:00:00,45.10282,14.09449,36.72,0.186272,264.6,7.5,9.7,9.662,12
2024-01-02,0,21:00:00,42.30884,17.33747,36.91125,0.186272,265.2,6.9,9.4,15.459,9
2024-01-02,0,22:00:00,43.9054,15.96544,33.08625,0.17463,255,5.8,8.3,21.256,10
2024-01-02,0,23:00:00,46.49981,12.84719,26.3925,0.151346,254.7,5.3,8,18.358,10
2024-01-02,0,24:00:00,48.09637,10.60205,21.0375,0.162988,253,5,7.8,16.425,20
2024-01-03,0,01:00:00,46.49981,11.10097,20.46375,0.139704,245.8,4.7,8.3,14.493,4
2024-01-03,0,02:00:00,49.49336,11.35043,19.89,0.151346,243,4.9,8.6,18.358,16
2024-01-03,0,03:00:00,56.27874,4.86447,12.24,0.093136,252,5.7,9.3,18.358,7
2024-01-03,0,04:00:00,57.47616,4.49028,13.005,0.05821,245.9,4.8,9.1,16.425,8
2024-01-03,0,05:00:00,57.07702,5.48812,13.96125,0.093136,257.1,6,9.4,18.358,7
2024-01-03,0,06:00:00,49.09422,10.10313,20.08125,0.093136,252.4,5.7,8.9,8.696,6
2024-01-03,0,07:00:00,37.71873,18.58477,37.29375,0.128062,250.1,5.1,8.6,11.594,11
2024-01-03,0,08:00:00,26.14367,25.69438,49.53375,0.139704,252,5.5,8.6,17.392,6
2024-01-03,0,09:00:00,22.55141,33.30291,53.1675,0.151346,248.7,4.7,8.2,27.054,4
2024-01-03,0,10:00:00,23.54926,37.66846,54.6975,0.139704,247.9,5.3,8.3,28.02,13
2024-01-03,0,11:00:00,25.34539,36.67062,51.6375,0.139704,256.2,5.5,9.3,27.054,11
2024-01-03,0,12:00:00,27.74023,36.04697,49.53375,0.128062,253.3,4.9,9.5,20.29,19
2024-01-03,0,13:00:00,15.76603,52.13714,70.7625,0.17463,259.6,4.7,9.3,13.527,5
2024-01-03,0,14:00:00,18.75958,38.6663,59.47875,0.244482,256.9,4.8,9.1,No data,6
2024-01-03,0,15:00:00,No data,No data,No data,No data,273.8,4.8,9,No data,No data
2024-01-03,0,16:00:00,20.15657,31.68142,56.41875,0.186272,275.9,4.4,8.4,No data,11
