date,day_category,time,O3,NO,NO2,CO,wind_dir,wind_speed,temp,PM10,PM2.5
2012-01-01,1,01:00:00,22,59,67,0.58,248.1,5.9,12.1,22,24
2012-01-01,1,02:00:00,12,140,96,0.93,250.4,6,12.3,27,20
2012-01-01,1,03:00:00,16,94,90,0.7,254.4,6,12.5,24,17
2012-01-01,1,04:00:00,20,70,59,0.47,256,5.7,12.5,16,7
2012-01-01,1,05:00:00,26,57,59,0.58,256.3,5.6,12.4,11,7
2012-01-01,1,06:00:00,26,52,52,0.58,256.6,5.6,12.2,11,10
2012-01-01,1,07:00:00,28,44,57,0.58,253.8,5.3,12.1,10,9
2012-01-01,1,08:00:00,26,41,57,0.47,249,5.1,11.6,12,4
2012-01-01,1,09:00:00,24,50,55,0.35,244.5,4.9,11.3,15,10
2012-01-01,1,10:00:00,26,52,59,0.23,238,4.7,11,11,6
2012-01-01,1,11:00:00,26,66,69,0.23,231.2,4.6,11,15,9
2012-01-01,1,12:00:00,26,62,67,0.23,228.4,4.6,11.1,16,11
2012-01-01,1,13:00:00,20,97,88,0.35,230.2,4.7,11.3,23,18
2012-01-01,1,14:00:00,18,102,96,0.35,232.5,4.7,11.4,24,15
2012-01-01,1,15:00:00,10,156,120,0.58,230.6,4.6,11.2,31,22
2012-01-01,1,16:00:00,6,167,124,0.7,228.9,4.5,11,24,21
2012-01-01,1,17:00:00,6,166,119,0.7,230.6,4.8,10.9,21,16
2012-01-01,1,18:00:00,8,148,134,0.7,233,4.9,10.7,27,24
2012-01-01,1,19:00:00,6,132,109,0.81,237.9,5,10.6,23,18
2012-01-01,1,20:00:00,10,102,96,0.58,246.6,5,10.4,19,17
2012-01-01,1,21:00:00,12,100,94,0.47,256.9,4.9,10.2,22,21
2012-01-01,1,22:00:00,8,84,92,0.35,263.9,4.7,9.9,20,13
2012-01-01,1,23:00:00,14,65,78,0.35,265.7,4.6,9.4,21,10
2012-01-01,1,24:00:00,16,64,73,0.35,269.2,4.9,9.1,15,9
2012-01-02,0,01:00:00,22,54,61,0.35,264.1,4.8,8,14,10
2012-01-02,0,02:00:00,24,34,52,0.35,255.7,4.4,6.9,11,6
2012-01-02,0,03:00:00,24,35,54,0.23,256.3,4.3,6.4,10,8
2012-01-02,0,04:00:00,26,35,46,0.23,255.9,4.2,5.8,10,5
2012-01-02,0,05:00:00,22,44,52,0.23,255.3,4.1,5.3,12,6
2012-01-02,0,06:00:00,20,51,61,0.35,250.9,3.9,4.9,9,5
2012-01-02,0,07:00:00,18,65,71,0.35,243.8,3.7,4.6,11,8
2012-01-02,0,08:00:00,16,84,77,0.35,245.6,3.9,4.5,9,9
2012-01-02,0,09:00:00,12,112,88,0.35,260.3,4.2,5,14,6
2012-01-02,0,10:00:00,12,131,92,0.47,268.9,4.2,5.7,13,9
2012-01-02,0,11:00:00,14,132,99,0.47,271,4,6.5,18,12
2012-01-02,0,12:00:00,14,145,101,0.47,270,4.5,7.4,14,10
2012-01-02,0,13:00:00,14,131,109,0.58,258.2,5.2,7.7,24,18
2012-01-02,0,14:00:00,16,109,105,0.47,247.6,5.4,7.6,19,14
2012-01-02,0,15:00:00,12,157,113,0.7,247.5,5.4,7.2,25,20
2012-01-02,0,16:00:00,10,178,119,0.81,254.5,5.7,6.7,25,18
2012-01-02,0,17:00:00,8,178,130,0.7,258.5,5.9,6.4,20,16
2012-01-02,0,18:00:00,6,187,130,0.81,259,5.8,6.3,26,14
2012-01-02,0,19:00:00,8,167,132,0.7,254.6,5.6,6.1,24,17
2012-01-02,0,20:00:00,10,148,119,0.7,246.8,5.2,5.8,26,17
2012-01-02,0,21:00:00,12,125,109,0.47,240.5,5,5.6,21,21
2012-01-02,0,22:00:00,14,97,92,0.35,239.5,5.1,5.6,22,17
2012-01-02,0,23:00:00,16,82,90,0.35,238.9,5.3,5.9,22,15
2012-01-02,0,24:00:00,26,52,61,0.23,236.1,5.4,6.3,16,10
2012-01-03,0,01:00:00,28,40,63,0.35,229.2,6,7,15,9
2012-01-03,0,02:00:00,38,24,48,0.23,220.3,7.1,8,11,5
2012-01-03,0,03:00:00,58,16,31,0.23,215.5,8.6,8.9,9,5
2012-01-03,0,04:00:00,62,14,19,0.23,215.8,10.2,9.6,7,5
2012-01-03,0,05:00:00,No data,No data,No data,No data,223.7,11.4,10.3,No data,No data
2012-01-03,0,06:00:00,No data,No data,No data,No data,231.9,11.7,11.2,No data,No data
2012-01-03,0,07:00:00,No data,No data,No data,No data,235.9,11.3,11.8,No data,No data
2012-01-03,0,08:00:00,No data,No data,No data,No data,237.5,11.2,12.1,No data,No data
2012-01-03,0,09:00:00,No data,No data,No data,No data,238.9,11.2,12.3,No data,No data
2012-01-03,0,10:00:00,No data,No data,No data,No data,240.6,11.1,12.5,No data,No data
2012-01-03,0,11:00:00,No data,No data,No data,No data,243.1,11,12.8,No data,No data
2012-01-03,0,12:00:00,No data,No data,No data,No data,256,10.4,12.6,No data,No data
2012-01-03,0,13:00:00,No data,No data,No data,No data,269.5,9.8,12.2,No data,No data
2012-01-03,0,14:00:00,8,200,140,0.7,271.7,8.4,11.6,No data,20
2012-01-03,0,15:00:00,10,173,119,0.7,274.1,8,10.4,No data,16
2012-01-03,0,16:00:00,20,121,105,0.47,279.3,8.9,9.2,No data,22
2012-01-03,0,17:00:00,14,132,105,0.58,281.4,8.5,8.2,No data,16
2012-01-03,0,18:00:00,14,111,92,0.58,280,8,7.4,No data,12
2012-01-03,0,19:00:00,8,140,119,0.81,276.9,7.7,6.9,No data,15
2012-01-03,0,20:00:00,6,177,124,0.7,275,7.8,6.7,No data,17
2012-01-03,0,21:00:00,8,158,122,0.58,275.1,8,6.8,No data,22
2012-01-03,0,22:00:00,18,86,90,0.47,274.5,8.2,6.8,No data,19
2012-01-03,0,23:00:00,24,75,73,0.35,274.6,8.4,6.7,No data,17
2012-01-03,0,24:00:00,26,62,75,0.23,281,7.9,6.9,No data,14
2012-01-04,0,01:00:00,22,57,75,0.23,291,7.4,6.3,No data,14
2012-01-04,0,02:00:00,54,12,27,0.23,298.8,7.2,5.4,No data,5
2012-01-04,0,03:00:00,58,12,21,0.23,302.7,7,5.1,No data,8
2012-01-04,0,04:00:00,46,20,38,0.23,301.3,6.9,5,No data,3
2012-01-04,0,05:00:00,30,32,59,0.35,295.1,6.5,5,No data,10
2012-01-04,0,06:00:00,22,67,69,0.23,287.9,6.1,5,No data,8
2012-01-04,0,07:00:00,8,163,122,0.47,283.9,5.8,5.1,No data,16
2012-01-04,0,08:00:00,4,303,138,0.7,281.6,5.7,5.2,No data,21
2012-01-04,0,09:00:00,4,350,161,0.93,278.6,5.7,5.3,No data,21
2012-01-04,0,10:00:00,4,343,142,0.81,276.4,5.8,5.8,No data,25
2012-01-04,0,11:00:00,6,253,122,0.58,273.7,5.5,6.6,No data,20
2012-01-04,0,12:00:00,6,277,138,0.81,272.3,5.4,7.6,No data,24
2012-01-04,0,13:00:00,No data,No data,No data,No data,271.5,5.6,8.2,No data,26
2012-01-04,0,14:00:00,4,No data,No data,0.81,266.7,5.9,8.1,No data,28
2012-01-04,0,15:00:00,6,220,128,0.81,263.9,6.8,8.1,No data,25
2012-01-04,0,16:00:00,6,206,134,0.93,263,7.5,8.5,No data,29
2012-01-04,0,17:00:00,6,196,140,0.93,261.6,8.1,8.8,No data,23
2012-01-04,0,18:00:00,8,157,119,0.93,260.9,8.6,9.1,No data,22
2012-01-04,0,19:00:00,8,150,96,0.81,261.4,9,9.4,No data,16
2012-01-04,0,20:00:00,8,157,115,0.81,262.3,9.3,9.6,No data,22
2012-01-04,0,21:00:00,8,125,107,0.7,265.3,9.8,9.8,No data,14
2012-01-04,0,22:00:00,10,80,90,0.58,268.2,10.3,9.9,No data,16
2012-01-04,0,23:00:00,16,64,78,0.47,268.7,10.4,10,No data,14
2012-01-04,0,24:00:00,24,45,65,0.35,269.7,10.4,10.1,No data,9
2012-01-05,0,01:00:00,30,32,46,0.47,272.6,10,10,No data,6
2012-01-05,0,02:00:00,38,19,34,0.35,274.6,9.6,10.1,No data,1
2012-01-05,0,03:00:00,40,16,33,0.35,275.7,9.8,10.5,No data,6
